paper,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
R588557,49,69,21,29,29,49,40
R588565,45,63,19,27,27,45,36
R588569,44,62,19,26,26,44,36
R588573,67,92,26,42,42,67,56
R588967,45,63,19,27,27,45,36
R588979,73,103,30,43,43,73,59
R589002,58,86,29,30,30,58,40
R589009,64,88,25,40,40,64,56
R589016,43,61,19,25,25,43,36
R589022,63,88,26,38,38,63,57
R589029,68,100,30,36,36,68,40
R589038,77,108,30,46,46,77,56
R589047,69,96,28,42,42,69,63
R589055,43,61,19,25,25,43,36
R589059,45,63,19,27,27,45,36
R589063,42,60,19,24,24,42,36
R677208,43,61,19,25,25,43,37
R678138,44,62,19,26,26,44,37
R678142,47,66,20,28,28,47,38
R678146,67,93,27,41,41,67,58
R678199,43,61,19,25,25,43,37
R678216,65,91,27,39,39,65,57
R678227,87,121,32,53,53,87,57
R678962,45,64,20,26,26,45,38
R678968,50,71,22,29,29,50,42
R678982,45,64,20,26,26,45,38
R680008,99,142,37,56,56,99,58
R680028,65,89,25,41,41,65,57
R680038,65,90,26,40,40,65,57
R680046,44,62,19,26,26,44,37
R680050,50,71,22,29,29,50,42
R680058,70,99,30,41,41,70,59
R684186,50,71,22,29,29,50,42
R684194,64,89,26,39,39,64,58
R684203,51,73,23,29,29,51,41
R684218,72,101,30,43,43,72,57
R684234,44,62,19,26,26,44,37
R684242,57,82,24,32,32,57,42
R684253,47,65,19,29,29,47,37
R684258,80,116,37,44,44,80,66
R684279,44,62,19,26,26,44,37
R684283,45,63,19,27,27,45,37
R684287,56,80,25,32,32,56,41
R684329,43,61,19,25,25,43,37
R1355372,44,62,19,26,26,44,37
R1355398,44,62,19,26,26,44,36
R1355793,46,65,20,27,27,46,38
R758416,44,62,19,26,26,44,37
R759344,53,75,22,31,31,53,37
R708774,65,89,25,41,41,65,57
R712785,67,94,27,40,40,67,58
R713795,80,116,35,44,44,80,58
R713816,47,66,20,28,28,47,38
R713822,44,62,19,26,26,44,37
R716500,44,63,20,25,25,44,38
R716507,47,67,21,27,27,47,38
R716516,49,70,22,28,28,49,38
R716528,44,62,19,26,26,44,37
R716534,46,66,21,26,26,46,38
R723743,66,92,27,40,40,66,54
R723993,46,64,19,28,28,46,37
R724132,45,64,20,26,26,45,38
R725453,64,89,26,39,39,64,57
R725474,45,63,19,27,27,45,37
R725768,50,70,21,30,30,50,41
R725860,46,64,19,28,28,46,37
R725892,50,70,21,30,30,50,41
R725946,44,62,19,26,26,44,37
R734861,43,61,19,25,25,43,37
R734867,67,93,27,41,41,67,58
R742443,65,90,26,40,40,65,57
R752003,64,89,26,39,39,64,57
R752108,43,61,19,25,25,43,37
R159690,96,136,35,56,56,96,58
R192345,93,132,37,54,54,93,65
R192386,83,115,31,51,51,83,58
R192398,84,117,32,51,51,84,58
R192428,81,111,31,51,51,81,65
R192445,85,117,32,53,53,85,65
R193022,65,91,26,39,39,65,41
R193025,77,105,29,49,49,77,64
R193035,85,121,34,49,49,85,57
R193044,80,114,34,46,46,80,59
R193070,63,90,28,36,36,63,42
R193089,84,118,32,50,50,84,57
R193108,65,90,26,40,40,65,57
R193295,88,124,34,52,52,88,59
R193308,87,125,36,49,49,87,59
R193330,53,76,24,30,30,53,41
R193336,72,100,29,44,44,72,57
R193341,88,122,34,54,54,88,64
R193357,79,110,30,48,48,79,57
R193371,88,122,34,54,54,88,64
R193385,88,124,36,52,52,88,64
R193406,83,120,37,46,46,83,57
R193418,78,109,30,47,47,78,59
R193441,84,117,31,51,51,84,59
R193467,74,104,30,44,44,74,57
R193473,53,73,21,33,33,53,41
R193481,83,118,36,48,48,83,64
R193490,90,129,39,51,51,90,67
R193798,85,118,34,52,52,85,67
R193818,58,83,25,33,33,58,41
R193828,88,124,35,52,52,88,64
R193849,77,109,32,45,45,77,57
R193866,68,95,28,41,41,68,57
R193898,93,133,40,53,53,93,67
R193920,84,120,35,48,48,84,66
R193925,72,100,29,44,44,72,64
R193929,123,185,57,61,61,123,81
R194054,87,123,35,51,51,87,58
R194084,85,117,33,53,53,85,65
R194093,67,92,26,42,42,67,58
R194114,70,98,29,42,42,70,58
R194125,92,128,37,56,56,92,65
R194139,102,141,37,63,63,102,65
R194237,87,119,31,55,55,87,58
R194253,87,121,33,53,53,87,65
R194281,129,190,51,68,68,129,65
R194317,82,113,32,51,51,82,65
R194345,100,139,37,61,61,100,67
R194360,85,119,34,51,51,85,65
R194373,86,119,32,53,53,86,60
R194401,92,129,36,55,55,92,65
R194414,85,118,31,52,52,85,66
R194425,47,65,19,29,29,47,38
R194428,72,99,28,45,45,72,65
R194431,97,139,41,55,55,97,65
R194445,98,136,37,60,60,98,65
R194458,90,127,35,53,53,90,65
R194474,104,151,39,57,57,104,59
R194607,74,103,30,45,45,74,65
R194610,75,103,29,47,47,75,65
R194641,71,99,28,43,43,71,58
R194686,63,88,26,38,38,63,42
R194698,84,117,32,51,51,84,58
